"d","G","ell","field","ind"
"93","A_{95}","5, 19","","1"
"94","{\rm PSL}_{5}(2)","7","","1"
"94","{\rm PSp}_{6}(2)","7","","1"
"94","A_{95}","!5, 19","","1"
"94","A_{96}","2, 3","","1"
"95","A_{96}","!2, 3","","1"
"95","A_{97}","97","","1"
"95","{\rm PSL}_{2}(191)","!191","Not implemented","0"
"96","{\rm PSL}_{3}(5)","31","","1"
"96","{\rm PSL}_{3}(5)","! 5,31","x31","0"
"96","{\rm PSL}_{3}(7)","3","","1"
"96","3.{\rm PSL}_{3}(7)","! 3,7","z3","0"
"96","12.{\rm M}_{22}","11","z12","0"
"96","A_{97}","!97","","1"
"96","A_{98}","2, 7","","1"
"96","{\rm PSL}_{2}(97)","!97","Not implemented","1"
"96","2.{\rm PSL}_{2}(97)","!7, 97","Not implemented","-1"
"96","2.{\rm PSL}_{2}(191)","!191, 2","Not implemented","0"
"96","{\rm PSL}_{2}(193)","2","Not implemented","-1"
"96","2.{\rm PSL}_{2}(193)","!2, 193","Not implemented","-1"
"97","A_{98}","!2, 7","","1"
"97","A_{99}","3, 11","","1"
"97","{\rm PSL}_{2}(97)","!2, 7, 97","Not implemented","1"
"97","{\rm PSL}_{2}(193)","!2, 193","Not implemented","1"
"98","{\rm PSp}_{6}(2)","3","","1"
"98","{\rm M}_{12}","5","","1"
"98","{\rm M}_{22}","2","","-1"
"98","{\rm M}_{22}","5","","1"
"98","{\rm HS}","5","","1"
"98","A_{99}","!3, 11","","1"
"98","A_{100}","2, 5","","1"
"98","{\rm PSL}_{2}(97)","!97","Not implemented","1"
"98","2.{\rm PSL}_{2}(97)","!2, 97","Not implemented","-1"
"98","{\rm PSL}_{2}(197)","2","Not implemented","-1"
"98","2.{\rm PSL}_{2}(197)","!2, 197","Not implemented","-1"
"99","{\rm M}_{12}","! 2,5","","1"
"99","{\rm M}_{22}","0, 3, 11","","1"
"99","3.{\rm M}_{22}","0,7,11","z3","0"
"99","A_{100}","!2, 5","","1"
"99","A_{101}","101","","1"
"99","{\rm PSL}_{2}(197)","!2, 197","Not implemented","1"
"99","{\rm PSL}_{2}(199)","!199","Not implemented","0"
"100","A_{11}","2","","1"
"100","A_{12}","2","","1"
"100","{\rm PSU}_{5}(2)","3","","1"
"100","A_{101}","!101","","1"
"100","A_{102}","2, 3, 17","","1"
"100","{\rm PSL}_{2}(101)","!101","Not implemented","1"
"100","2.{\rm PSL}_{2}(101)","!101","Not implemented","-1"
"100","2.{\rm PSL}_{2}(199)","!199, 2","Not implemented","0"
"101","A_{9}","7","","1"
"101","A_{10}","7","","1"
"101","{\rm J}_2","7","","1"
"101","{\rm He}","2","b7","0"
"101","A_{102}","!2, 3, 17","","1"
"101","A_{103}","103","","1"
"101","{\rm PSL}_{2}(101)","!2, 3, 17, 101","Not implemented","1"
"102","A_{103}","!103","","1"
"102","A_{104}","2, 13","","1"
"102","{\rm PSL}_{2}(101)","!5, 101","Not implemented","1"
"102","2.{\rm PSL}_{2}(101)","!2, 101","Not implemented","-1"
"102","{\rm PSL}_{2}(103)","!103","Not implemented","1"
"102","2.{\rm PSL}_{2}(103)","!2, 103","Not implemented","-1"
"103","A_{16}","3, 5","","1"
"103","A_{17}","3,5","","1"
"103","G_{2}(3)","7","","1"
"103","A_{104}","!2, 13","","1"
"103","A_{105}","3, 5, 7","","1"
"103","{\rm PSL}_{2}(103)","!2, 13, 103","Not implemented","1"
"104","2.A_{9}","3","","1"
"104","A_{16}","0,11,13","","1"
"104","{\rm PSU}_{3}(5)","2","","-1"
"104","{\rm PSU}_{4}(5)","2","","-1"
"104","{\rm PSU}_{4}(5)","3","","1"
"104","{\rm PSU}_{4}(5)","! 3,5","z3","0"
"104","2.{\rm PSU}_{4}(5)","0,7,13","z3","0"
"104","2.{\rm PSU}_{4}(5)","! 2,5","","-1"
"104","{\rm PSp}_{4}(5)","! 5","","1"
"104","2.{\rm PSp}_{4}(5)","0,13","","-1"
"104","2.{\rm PSp}_{6}(2)","3, 5","","1"
"104","{\rm O}_{7}(3)","2","","1"
"104","2.{\rm O}_{8}^+(2)","3, 5","","1"
"104","2.Sz(8)","0,13","","1"
"104","G_{2}(3)","0,13","","1"
"104","2.G_{2}(4)","! 2,5","b5","-1"
"104","{\rm M}_{23}","3","b11, b23","0"
"104","{\rm McL}","3","b11","0"
"104","{\rm He}","5","r21","1"
"104","A_{105}","!3, 5, 7","","1"
"104","A_{106}","2, 53","","1"
"104","{\rm PSL}_{2}(103)","!103","Not implemented","1"
"104","2.{\rm PSL}_{2}(103)","!103, 2","Not implemented","-1"
"105","A_{9}","! 2,3","","1"
"105","A_{16}","! 2","","1"
"105","A_{17}","17","","1"
"105","{\rm PSU}_{3}(5)","0,7","","1"
"105","3.{\rm PSU}_{3}(5)","0,7","z3","0"
"105","3_1.{\rm PSU}_{4}(3)","! 2,3","z3","0"
"105","{\rm PSU}_{4}(5)","0,7,13","","1"
"105","{\rm PSp}_{6}(2)","! 2,3","","1"
"105","{\rm PSp}_{6}(3)","! 2,3","","1"
"105","{\rm O}_{7}(3)","! 2,3","","1"
"105","3.{\rm M}_{22}","0,5,7","z3, b11","0"
"105","A_{106}","!2, 53","","1"
"105","A_{107}","107","","1"
"105","{\rm PSL}_{2}(211)","!211","Not implemented","0"
"106","{\rm J}_1","11","b5, c19","1"
"106","A_{107}","!107","","1"
"106","A_{108}","2, 3","","1"
"106","{\rm PSL}_{2}(107)","!107","Not implemented","1"
"106","2.{\rm PSL}_{2}(107)","!2, 107","Not implemented","-1"
"106","2.{\rm PSL}_{2}(211)","!211, 2","Not implemented","0"
"107","A_{108}","!2, 3","","1"
"107","A_{109}","109","","1"
"107","{\rm PSL}_{2}(107)","!2, 3, 107","Not implemented","1"
"108","2.{\rm M}_{12}","11","","1"
"108","A_{109}","!109","","1"
"108","A_{110}","2, 5, 11","","1"
"108","{\rm PSL}_{2}(107)","!53, 107","Not implemented","1"
"108","2.{\rm PSL}_{2}(107)","!53, 107, 2","Not implemented","-1"
"108","{\rm PSL}_{2}(109)","!109","Not implemented","1"
"108","2.{\rm PSL}_{2}(109)","!109","Not implemented","-1"
"109","A_{11}","3","","1"
"109","{}^{2}F_{4}(2)'","5","r2, r3, b13","1"
"109","A_{110}","!2, 5, 11","","1"
"109","A_{111}","3, 37","","1"
"109","{\rm PSL}_{2}(109)","!2, 5, 11, 109","Not implemented","1"
"110","A_{11}","0,5,11","","1"
"110","{\rm PSU}_{3}(11)","! 11","","-1"
"110","{\rm PSU}_{5}(2)","! 2","","-1"
"110","{\rm PSU}_{5}(2)","! 2,3","z3","0"
"110","2.{\rm M}_{12}","! 2,3","i2","0"
"110","{\rm J}_3","19","b17, y9","1"
"110","{\rm Suz}","2","b5, b13, r21","1"
"110","A_{111}","!3, 37","","1"
"110","A_{112}","2, 7","","1"
"110","{\rm PSL}_{2}(109)","!3, 109","Not implemented","1"
"110","2.{\rm PSL}_{2}(109)","!2, 109","Not implemented","-1"
"111","{\rm PSU}_{3}(11)","! 2,11","","1"
"111","{\rm PSU}_{3}(11)","! 2,11","i1","0"
"111","3.{\rm PSU}_{3}(11)","! 3,11","z3","0"
"111","3.{\rm PSU}_{3}(11)","0,5,37","z12","0"
"111","{\rm Ly}","5","","1"
"111","A_{112}","!2, 7","","1"
"111","A_{113}","113","","1"
"111","{\rm PSL}_{2}(223)","!223","Not implemented","0"
"112","2.A_{9}","0,7","","1"
"112","2.{\rm PSp}_{6}(2)","0,7","","1"
"112","2.{\rm O}_{8}^+(2)","0,7","","1"
"112","{\rm J}_{4}","2","","1"
"112","A_{113}","!113","","1"
"112","A_{114}","2, 3, 19","","1"
"112","{\rm PSL}_{2}(113)","!113","Not implemented","1"
"112","2.{\rm PSL}_{2}(113)","!113","Not implemented","-1"
"112","2.{\rm PSL}_{2}(223)","!223, 2","Not implemented","0"
"113","A_{114}","!2, 3, 19","","1"
"113","A_{115}","5, 23","","1"
"113","{\rm PSL}_{2}(113)","!2, 3, 19, 113","Not implemented","1"
"113","{\rm PSL}_{2}(227)","!227","Not implemented","0"
"114","6_1.{\rm PSU}_{4}(3)","7","z3","0"
"114","A_{115}","!5, 23","","1"
"114","A_{116}","2, 29","","1"
"114","{\rm PSL}_{2}(113)","!113","Not implemented","1"
"114","2.{\rm PSL}_{2}(113)","!2, 113","Not implemented","-1"
"114","2.{\rm PSL}_{2}(227)","!227, 2","Not implemented","0"
"114","{\rm PSL}_{2}(229)","2","Not implemented","-1"
"114","2.{\rm PSL}_{2}(229)","!2, 229","Not implemented","-1"
"115","A_{9}","7","","1"
"115","A_{116}","!2, 29","","1"
"115","A_{117}","3, 13","","1"
"115","{\rm PSL}_{2}(229)","!2, 229","Not implemented","1"
"116","A_{117}","!3, 13","","1"
"116","A_{118}","2, 59","","1"
"116","{\rm PSL}_{2}(233)","2","Not implemented","-1"
"116","2.{\rm PSL}_{2}(233)","!2, 233","Not implemented","-1"
"117","A_{118}","!2, 59","","1"
"117","A_{119}","7, 17","","1"
"117","{\rm PSL}_{2}(233)","!2, 233","Not implemented","1"
"118","A_{17}","2","","1"
"118","A_{18}","2","","1"
"118","{\rm PSp}_{8}(2)","3,5","","1"
"118","A_{119}","!7, 17","","1"
"118","A_{120}","2, 3, 5","","1"
"119","A_{17}","! 2,3,5","","1"
"119","{\rm PSL}_{5}(3)","11","","1"
"119","{\rm PSU}_{5}(2)","11","","1"
"119","{\rm PSp}_{8}(2)","0,7,17","","1"
"119","{\rm J}_1","11","c19","1"
"119","A_{120}","!2, 3, 5","","1"
"119","A_{121}","11","","1"
"119","{\rm PSL}_{2}(239)","!239","Not implemented","0"
"120","A_{9}","0,5","","1"
"120","2.A_{9}","0,5","z3","0"
"120","A_{11}","! 2,11","","1"
"120","A_{12}","3","","1"
"120","A_{17}","! 2,17","","1"
"120","A_{18}","3","","1"
"120","12_1.{\rm PSL}_{3}(4)","0,5","z12","0"
"120","{\rm PSL}_{5}(3)","! 3,11","","1"
"120","{\rm PSU}_{4}(3)","2","","1"
"120","2.{\rm PSU}_{4}(3)","! 2,3","","1"
"120","4.{\rm PSU}_{4}(3)","! 2,3","i1","0"
"120","6_1.{\rm PSU}_{4}(3)","0,5","z3","0"
"120","12_1.{\rm PSU}_{4}(3)","! 2,3","z12","0"
"120","{\rm PSU}_{5}(2)","0,5","","1"
"120","2.{\rm PSU}_{6}(2)","3","","1"
"120","6.{\rm PSU}_{6}(2)","! 2,3","z3","0"
"120","{\rm PSp}_{6}(2)","0,5","","1"
"120","2.{\rm PSp}_{6}(2)","! 2,3","","1"
"120","{\rm M}_{12}","0,5","","1"
"120","2.{\rm M}_{12}","0,5","","1"
"120","2.{\rm M}_{22}","! 2,11","","1"
"120","6.{\rm M}_{22}","0,5,11","z3","0"
"120","12.{\rm M}_{22}","! 2,3","z24","0"
"120","{\rm M}_{23}","2","","1"
"120","{\rm M}_{24}","2","","1"
"120","{\rm J}_1","! 11,19","c19","1"
"120","2.{\rm HS}","5","i1","-1"
"120","A_{121}","!11","","1"
"120","A_{122}","2, 61","","1"
"120","{\rm PSL}_{2}(121)","!11","Not implemented","1"
"120","2.{\rm PSL}_{2}(121)","!61, 11","Not implemented","-1"
"120","2.{\rm PSL}_{2}(239)","!239, 2","Not implemented","0"
"120","{\rm PSL}_{2}(241)","2","Not implemented","-1"
"120","2.{\rm PSL}_{2}(241)","!2, 241","Not implemented","-1"
"121","{\rm PSL}_{5}(3)","! 2,3","","1"
"121","{\rm PSp}_{10}(3)","! 3","z3","0"
"121","A_{122}","!2, 61","","1"
"121","A_{123}","3, 41","","1"
"121","{\rm PSL}_{2}(243)","!3","Not implemented","0"
"121","{\rm PSL}_{2}(121)","!2, 61, 11","Not implemented","1"
"121","{\rm PSL}_{2}(241)","!2, 241","Not implemented","1"
"122","2.{\rm PSp}_{10}(3)","! 2,3","z3","0"
"122","A_{123}","!3, 41","","1"
"122","A_{124}","2, 31","","1"
"122","2.{\rm PSL}_{2}(243)","!3, 2","Not implemented","0"
"122","{\rm PSL}_{2}(121)","!11","Not implemented","1"
"122","2.{\rm PSL}_{2}(121)","!2, 11","Not implemented","-1"
"123","{\rm PSL}_{5}(2)","5","","1"
"123","A_{124}","!2, 31","","1"
"123","A_{125}","5","","1"
"124","A_{10}","7","","1"
"124","{\rm PSL}_{3}(5)","! 5","","1"
"124","{\rm PSL}_{3}(5)","2","","-1"
"124","{\rm PSL}_{3}(5)","! 2,5","i1","0"
"124","{\rm PSL}_{3}(5)","0,31","y24'","0"
"124","{\rm PSL}_{5}(2)","0, 3, 31","","1"
"124","{\rm PSU}_{3}(5)","7","","1"
"124","Sz(32)","! 2","i1","0"
"124","G_{2}(5)","! 5","","1"
"124","{}^{2}F_{4}(2)'","3","b13","1"
"124","{\rm J}_2","7","","1"
"124","A_{125}","!5","","1"
"124","A_{126}","2, 3, 7","","1"
"124","{\rm PSL}_{2}(125)","!5","Not implemented","1"
"124","2.{\rm PSL}_{2}(125)","!5","Not implemented","-1"
"125","{\rm PSL}_{3}(5)","0","","1"
"125","{\rm PSL}_{7}(2)","127","","1"
"125","{\rm PSU}_{3}(5)","0","","1"
"125","A_{126}","!2, 3, 7","","1"
"125","A_{127}","127","","1"
"125","{\rm PSL}_{2}(125)","!2, 3, 7, 5","Not implemented","1"
"125","{\rm PSL}_{2}(251)","!251","Not implemented","0"
"126","A_{10}","! 2,5","","1"
"126","A_{11}","11","","1"
"126","A_{11}","! 2,11","b11","0"
"126","A_{12}","3","b11,i35","0"
"126","{\rm PSL}_{7}(2)","! 2,127","","1"
"126","{\rm PSU}_{3}(5)","! 2,5","","1"
"126","{\rm PSU}_{3}(5)","! 2,5","i2","0"
"126","3.{\rm PSU}_{3}(5)","0,7","z3","0"
"126","3.{\rm PSU}_{3}(5)","0,7","z3, i2","0"
"126","3_2.{\rm PSU}_{4}(3)","! 2,3","z3","0"
"126","6_1.{\rm PSU}_{4}(3)","! 2,3","z3","0"
"126","6_2.{\rm PSU}_{4}(3)","! 2,3","z3","0"
"126","6_2.{\rm PSU}_{4}(3)","! 2,3","z12","0"
"126","{\rm PSp}_{4}(7)","2","","1"
"126","{\rm PSp}_{4}(7)","! 2,7","","1"
"126","2.{\rm M}_{22}","11","","1"
"126","2.{\rm M}_{22}","! 2,11","b11","0"
"126","6.{\rm M}_{22}","0, 5, 7","z3, b11","0"
"126","{\rm J}_2","0,7","","1"
"126","2.{\rm J}_2","! 2,5","b5","-1"
"126","3.{\rm J}_3","2","z3, b17, b19","0"
"126","3.{\rm McL}","11","z3","0"
"126","3.{\rm McL}","! 3,11","z3, b11","0"
"126","{\rm Co}_{3}","3","i5, b11, b23","0"
"126","A_{127}","!127","","1"
"126","A_{128}","2","","1"
"126","{\rm PSL}_{2}(125)","!31, 5","Not implemented","1"
"126","2.{\rm PSL}_{2}(125)","!2, 5","Not implemented","-1"
"126","{\rm PSL}_{2}(127)","!127","Not implemented","1"
"126","2.{\rm PSL}_{2}(127)","!2, 127","Not implemented","-1"
"126","2.{\rm PSL}_{2}(251)","!251, 2","Not implemented","0"
"127","A_{128}","!2","","1"
"127","A_{129}","3, 43","","1"
"127","{\rm PSL}_{2}(128)","!2","Not implemented","1"
"127","{\rm PSL}_{2}(127)","!2, 127","Not implemented","1"
"128","2.A_{11}","11","","1"
"128","2.A_{12}","11","","1"
"128","2.A_{16}","! 2","","1"
"128","A_{17}","2","b17","1"
"128","2.A_{17}","17","","1"
"128","2.A_{17}","! 2,17","b17","1"
"128","2.A_{18}","3","r2, r5, r14, b17, b65, b77","1"
"128","A_{129}","!3, 43","","1"
"128","A_{130}","2, 5, 13","","1"
"128","{\rm PSL}_{2}(128)","!3, 43, 2","Not implemented","1"
"128","{\rm PSL}_{2}(127)","!127","Not implemented","1"
"128","2.{\rm PSL}_{2}(127)","!127, 2","Not implemented","-1"
"128","{\rm PSL}_{2}(257)","2","Not implemented","-1"
"128","2.{\rm PSL}_{2}(257)","!2, 257","Not implemented","-1"
"129","A_{130}","!2, 5, 13","","1"
"129","A_{131}","131","","1"
"129","{\rm PSL}_{2}(128)","!127, 2","Not implemented","1"
"129","{\rm PSL}_{2}(257)","!2, 257","Not implemented","1"
"130","{\rm PSp}_{4}(5)","0,13","","1"
"130","A_{131}","!131","","1"
"130","A_{132}","2, 3, 11","","1"
"130","{\rm PSL}_{2}(131)","!131","Not implemented","1"
"130","2.{\rm PSL}_{2}(131)","!2, 131","Not implemented","-1"
"131","A_{11}","3,7","","1"
"131","A_{12}","3,7","","1"
"131","{\rm PSL}_{3}(11)","7,19","","1"
"131","A_{132}","!2, 3, 11","","1"
"131","A_{133}","7, 19","","1"
"131","{\rm PSL}_{2}(131)","!2, 3, 11, 131","Not implemented","1"
"131","{\rm PSL}_{2}(263)","!263","Not implemented","0"
"132","A_{11}","0,11","","1"
"132","A_{12}","0,11","","1"
"132","{\rm PSL}_{3}(11)","0,2,3,5","","1"
"132","12_1.{\rm PSU}_{4}(3)","5","z12","0"
"132","{\rm HS}","2","","-1"
"132","{\rm HN}","2","b5","-1"
"132","A_{133}","!7, 19","","1"
"132","A_{134}","2, 67","","1"
"132","{\rm PSL}_{2}(131)","!131","Not implemented","1"
"132","2.{\rm PSL}_{2}(131)","!131, 2","Not implemented","-1"
"132","2.{\rm PSL}_{2}(263)","!263, 2","Not implemented","0"
"133","A_{9}","5","","1"
"133","A_{10}","5","r21","1"
"133","A_{11}","5","r21","1"
"133","{\rm PSL}_{3}(11)","! 2,11","","1"
"133","{\rm PSL}_{3}(11)","! 5,11","z5","-1"
"133","{\rm PSU}_{3}(8)","! 2","","1"
"133","{\rm PSp}_{6}(2)","5","","1"
"133","{\rm M}_{22}","5","","1"
"133","{\rm J}_1","! 2,11","","1"
"133","{\rm J}_1","0,7,19","b5","1"
"133","{\rm J}_2","3","","1"
